Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Willett Family Estate 8yo Bourbon,9.02,0.05,3,$$$$,Bourbon-like,,R2,USA,Bourbon
Wild Turkey Master's Keep Decades,9.01,0.19,7,$$$$$,Bourbon-like,,R2,USA,Bourbon
Willett Family Estate Bourbon (all ages),8.96,0.26,16,$$$$,Bourbon-like,,R2,USA,Bourbon
Blanton's Straight from the Barrel Bourbon,8.95,0.23,11,$$$$,Bourbon-like,,R2,USA,Bourbon
Colonel E.H. Taylor Four Grain,8.94,0.33,6,$$$$,Bourbon-like,,R1,USA,Bourbon
Willett Family Estate 17yo Bourbon,8.92,0.56,3,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Willett Family Estate 7yo Bourbon,8.92,0.32,3,$$$$,Bourbon-like,,R2,USA,Bourbon
Heaven Hill Select Stock Barrel,8.91,0.14,3,$$$$$,Bourbon-like,,R1,USA,Bourbon
Colonel EH Taylor Barrel Proof,8.9,0.2,8,$$$$,Bourbon-like,,R1,USA,Bourbon
Elijah Craig Barrel Proof,8.9,0.22,12,$$$$,Bourbon-like,,R1,USA,Bourbon
Jack Daniel's 150th Anniversary,8.9,0.32,3,$$$,Bourbon-like,,R1,USA,Bourbon
Old Rip Van Winkle 10yo,8.89,0.24,11,$$$$$+,Bourbon-like,,R0,USA,Bourbon
Wild Turkey 17yo Master's Keep,8.88,0.29,8,$$$$$,Bourbon-like,,R2,USA,Bourbon
Stagg Jr (batches 3-9),8.87,0.18,9,$$$$,Bourbon-like,,R1,USA,Bourbon
Willett Family Estate 14yo Bourbon,8.86,0.45,3,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Eagle Rare 17yo,8.85,0.3,15,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Smooth Ambler Old Scout Single Barrel Bourbon,8.85,0.23,7,$$$$,Bourbon-like,,R1,USA,Bourbon
W.L. Weller 12yo,8.85,0.17,17,$$$$$,Bourbon-like,,R0,USA,Bourbon
Wild Turkey Kentucky Spirit Single Barrel,8.85,0.28,14,$$$,Bourbon-like,,R2,USA,Bourbon
Angel's Envy Cask Strength,8.84,0.43,10,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Booker's Small Batch Straight Bourbon,8.84,0.23,21,$$$,Bourbon-like,,R2,USA,Bourbon
Colonel EH Taylor Single Barrel,8.84,0.32,9,$$$$,Bourbon-like,,R1,USA,Bourbon
Jefferson's 18yo Presidential Select,8.82,0.46,9,$$$$$+,Bourbon-like,,R3,USA,Bourbon
Old Forester 1920 Prohibition Style,8.81,0.33,5,$$$$,Bourbon-like,,R2,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 23yo,8.81,0.44,6,$$$$$+,Bourbon-like,,R0,USA,Bourbon
Willett Family Estate 11yo Bourbon,8.81,0.27,5,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Maker's Mark Cask Strength,8.8,0.29,14,$$$$,Bourbon-like,,R0,USA,Bourbon
Parker‰Ûªs Heritage 8th 13yo Wheat Whiskey,8.8,0.54,9,$$$$$+,Bourbon-like,,R0,USA,Bourbon
Wild Turkey 14yo Tradition,8.8,0.26,5,$$$$$,Bourbon-like,,R2,USA,Bourbon
J.P. Wiser's Last Barrels,8.79,0.31,11,$$$,Bourbon-like,,,Canada,Blend
Michter's 10yo Single Barrel Bourbon,8.79,0.3,11,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Wild Turkey Diamond Anniversary,8.79,0.29,7,$$$$$,Bourbon-like,,R2,USA,Bourbon
Baker‰Ûªs Kentucky Straight Bourbon 7yo,8.78,0.29,21,$$$,Bourbon-like,,R2,USA,Bourbon
Knob Creek Single Barrel Reserve Bourbon,8.78,0.28,14,$$$,Bourbon-like,,R2,USA,Bourbon
Old Forester Birthday (2012-2016),8.77,0.13,12,$$$$$,Bourbon-like,,R2,USA,Bourbon
Russell's Reserve Single Barrel,8.76,0.24,9,$$$$,Bourbon-like,,R2,USA,Bourbon
Willett Family Estate 13yo Bourbon,8.76,0.43,3,$$$$$+,Bourbon-like,,R2,USA,Bourbon
Henry McKenna 10yo Single Barrel BiB,8.75,0.26,12,$$,Bourbon-like,,R1,USA,Bourbon
Jefferson's Ocean Aged at Sea,8.75,0.4,4,$$$$,Bourbon-like,,R3,USA,Bourbon
"Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)",8.74,0.04,3,$$$$$,Bourbon-like,,R1,USA,Bourbon
Blanton's Gold Kentucky Straight Bourbon,8.73,0.4,16,$$$$,Bourbon-like,,R2,USA,Bourbon
Elmer T. Lee Single Barrel Bourbon,8.73,0.39,15,$$$,Bourbon-like,,R2,USA,Bourbon
Orphan Barrel Barterhouse Bourbon 20yo,8.73,0.37,14,$$$$$,Bourbon-like,,R1,USA,Bourbon
Yellowstone 2016 Limited Edition,8.73,0.44,3,$$$$$,Bourbon-like,,R3,USA,Bourbon
Old Weller Antique 107,8.71,0.34,15,$$,Bourbon-like,,R0,USA,Bourbon
Wild Turkey Rare Breed,8.71,0.3,20,$$$,Bourbon-like,,R2,USA,Bourbon
Woodford Reserve Double Oaked,8.71,0.27,14,$$$$,Bourbon-like,,R2,USA,Bourbon
Barton 1792 Full Proof Bourbon,8.7,0.51,6,$$$,Bourbon-like,,R2,USA,Bourbon
Elijah Craig 18yo,8.7,0.49,12,$$$$$,Bourbon-like,,R1,USA,Bourbon
Four Roses Single Barrel Bourbon,8.7,0.31,21,$$$,Bourbon-like,,R3,USA,Bourbon
Barton 1792 Single Barrel Bourbon,8.68,0.38,5,$$$,Bourbon-like,,R2,USA,Bourbon
Van Winkle Special Reserve 12yo Lot B,8.68,0.23,9,$$$$$+,Bourbon-like,,R0,USA,Bourbon
Barton 1792 High Rye Bourbon,8.67,0.49,4,$$$,Bourbon-like,,R3,USA,Bourbon
Evan Williams Single Barrel,8.67,0.23,18,$$,Bourbon-like,,R1,USA,Bourbon
Elijah Craig 12yo,8.66,0.26,24,$$,Bourbon-like,,R1,USA,Bourbon
Maker's Mark 46,8.66,0.36,21,$$$,Bourbon-like,,R0,USA,Bourbon
Barton 1792 Sweet Wheat Bourbon,8.65,0.19,8,$$$$,Bourbon-like,,R0,USA,Bourbon
Blanton's Single Barrel Bourbon,8.65,0.32,22,$$$,Bourbon-like,,R2,USA,Bourbon
Jim Beam Single Barrel,8.64,0.2,4,$$,Bourbon-like,,R2,USA,Bourbon
Old Grand-Dad Bourbon 114,8.63,0.24,12,$$,Bourbon-like,,R3,USA,Bourbon
Willett Pot Still Reserve,8.63,0.51,9,$$$,Bourbon-like,,R2,USA,Bourbon
Colonel EH Taylor Small Batch (BiB),8.62,0.29,14,$$$$,Bourbon-like,,R1,USA,Bourbon
Eagle Rare 10yo,8.6,0.31,24,$$,Bourbon-like,,R1,USA,Bourbon
Knob Creek Small Batch 9yo Bourbon,8.6,0.39,23,$$,Bourbon-like,,R2,USA,Bourbon
Stranahan's Colorado Whiskey,8.6,0.32,14,$$$$,Bourbon-like,,R0,USA,Bourbon
Ancient Age 10yo Kentucky Straight Bourbon,8.59,0.4,5,$,Bourbon-like,,R2,USA,Bourbon
Corner Creek Reserve Bourbon,8.59,0.34,8,$$,Bourbon-like,,R2,USA,Bourbon
Jack Daniel's Master Distiller (all series),8.59,0.19,5,$$,Bourbon-like,,R1,USA,Bourbon
Buffalo Trace Bourbon,8.57,0.37,24,$$,Bourbon-like,,R1,USA,Bourbon
Jefferson's Reserve Very Old Kentucky Straight Bourbon,8.57,0.36,8,$$$,Bourbon-like,,R3,USA,Bourbon
Koval Single Barrel Bourbon,8.57,0.41,8,$$$,Bourbon-like,,R0,USA,Bourbon
Koval Single Barrel Four Grain,8.57,0.22,5,$$$$,Bourbon-like,,R0,USA,Grain
Russell's Reserve Small Batch 10yo Bourbon,8.57,0.34,15,$$,Bourbon-like,,R2,USA,Bourbon
Ezra Brooks 7yo Old Ezra 101,8.56,0.24,4,$$,Bourbon-like,,R1,USA,Bourbon
Bulleit Bourbon Barrel Strength,8.55,0.28,9,$$$$,Bourbon-like,,R3,USA,Bourbon
Stagg Jr (all batches),8.54,0.42,19,$$$$,Bourbon-like,,R1,USA,Bourbon
Barton 1792 Port Finished Bourbon,8.53,0.17,8,$$$,Bourbon-like,,R2,USA,Bourbon
Barton 1792 Small Batch Bourbon,8.53,0.42,18,$$,Bourbon-like,,R2,USA,Bourbon
FEW Bourbon,8.53,0.42,10,$$$,Bourbon-like,,R3,USA,Bourbon
Jefferson's Ocean,8.53,0.2,6,$$,Bourbon-like,,R3,USA,Bourbon
Willett Family Estate 9yo Bourbon,8.53,0.36,4,$$$$,Bourbon-like,,R2,USA,Bourbon
Jim Beam 12yo Signature Craft,8.51,0.33,11,$$,Bourbon-like,,R2,USA,Bourbon
Four Roses Small Batch Bourbon,8.5,0.4,16,$$,Bourbon-like,,R3,USA,Bourbon
Smooth Ambler Old Scout 7yo Bourbon,8.5,0.33,12,$$$,Bourbon-like,,R3,USA,Bourbon
Bulleit 10yo,8.49,0.36,16,$$$,Bourbon-like,,R3,USA,Bourbon
Jim Beam Distillers Masterpiece PX Sherry Cask Finish,8.49,0.34,6,$$$$$,Bourbon-like,,R2,USA,Bourbon
Jack Daniel's Single Barrel,8.48,0.39,17,$$$,Bourbon-like,,R1,USA,Bourbon
Jim Beam Bonded,8.47,0.42,11,$$,Bourbon-like,,R2,USA,Bourbon
Parker‰Ûªs Heritage 9th 8yo Malt Whiskey,8.47,0.53,6,$$$$$,Bourbon-like,,R1,USA,Bourbon
Angel's Envy Bourbon (Port-finished),8.46,0.44,15,$$$,Bourbon-like,,R2,USA,Bourbon
Wild Turkey Forgiven,8.46,0.45,9,$$$,Bourbon-like,,R2,USA,Bourbon
Bernheim Original Straight Wheat 7yo Small Batch,8.45,0.52,19,$$,Bourbon-like,,R0,USA,Wheat
Michter's Small Batch US*1 Bourbon,8.45,0.34,14,$$$,Bourbon-like,,R1,USA,Bourbon
Wild Turkey 101 Bourbon,8.44,0.36,22,$$,Bourbon-like,,R2,USA,Bourbon
Smooth Ambler Contradiction Bourbon,8.43,0.49,4,$$$$,Bourbon-like,,R2,USA,Bourbon
Michter's Toasted Barrel,8.42,0.14,6,$$$$,Bourbon-like,,R1,USA,Bourbon
Old Grand-Dad Bourbon 100 BiB,8.4,0.49,11,$$,Bourbon-like,,R3,USA,Bourbon
Very Old Barton 6yo BiB,8.4,0.33,5,$$,Bourbon-like,,R2,USA,Bourbon
Old Fitzgerald Kentucky Straight Bourbon,8.39,0.5,6,$$,Bourbon-like,,R0,USA,Bourbon
Old Forester Signature (100 Proof),8.39,0.38,10,$$,Bourbon-like,,R2,USA,Bourbon
Very Old Barton 6yo,8.39,0.35,8,$,Bourbon-like,,R2,USA,Bourbon
W.L. Weller Special Reserve,8.39,0.36,13,$,Bourbon-like,,R0,USA,Bourbon
Woodford Reserve Distiller's Select,8.39,0.32,22,$$,Bourbon-like,,R2,USA,Bourbon
Smooth Ambler Old Scout 10yo Bourbon,8.38,0.55,4,$$$$,Bourbon-like,,R3,USA,Bourbon
Stagg Jr (batches 1-2),8.38,0.38,15,$$$$,Bourbon-like,,R1,USA,Bourbon
Basil Hayden‰Ûªs Kentucky Bourbon,8.37,0.25,17,$$$,Bourbon-like,,R3,USA,Bourbon
Bulleit Bourbon,8.37,0.35,24,$$,Bourbon-like,,R3,USA,Bourbon
Heaven Hill 6yo BiB,8.37,0.26,8,$,Bourbon-like,,R1,USA,Bourbon
Parker‰Ûªs Heritage 10th 24yo Kentucky Straight Bourbon,8.36,0.96,7,$$$$$+,Bourbon-like,,R1,USA,Bourbon
Larceny Small Batch Bourbon,8.35,0.24,11,$$,Bourbon-like,,R0,USA,Bourbon
Yellowstone 2015 Limited Edition,8.35,0.63,4,$$$$$,Bourbon-like,,R3,USA,Bourbon
Old Forester 1870 Original Batch,8.34,0.15,3,$$$,Bourbon-like,,R2,USA,Bourbon
Balcones Baby Blue,8.32,0.72,11,$$$$,Bourbon-like,,R0,USA,Whiskey
Evan Williams Bottled in Bond (White label),8.31,0.47,12,$,Bourbon-like,,R1,USA,Bourbon
High West American Prairie,8.3,0.69,7,$$$,Bourbon-like,,R3,USA,Bourbon
Elijah Craig Small Batch (NAS),8.28,0.28,4,$$,Bourbon-like,,R1,USA,Bourbon
Michter's Sour Mash,8.28,0.08,3,$$$,Bourbon-like,,R1,USA,Bourbon
Old Forester 1897 BiB,8.27,0.62,5,$$$,Bourbon-like,,R2,USA,Bourbon
George Dickel No.12,8.25,0.39,18,$$,Bourbon-like,,R1,USA,Bourbon
Jim Beam Black Label,8.24,0.31,16,$,Bourbon-like,,R2,USA,Bourbon
Maker's Mark,8.23,0.4,26,$$,Bourbon-like,,R0,USA,Bourbon
Bib & Tucker 6yo Bourbon,8.22,0.12,4,$$$,Bourbon-like,,R3,USA,Bourbon
Four Roses (Yellow Label),8.2,0.33,12,$,Bourbon-like,,R3,USA,Bourbon
Evan Williams (Black Label),8.19,0.4,16,$,Bourbon-like,,R1,USA,Bourbon
Jim Beam Double Oak,8.19,0.44,7,$$,Bourbon-like,,R2,USA,Bourbon
Heaven Hill Trybox Series New Make,8.18,0.28,3,$,Bourbon-like,,R1,USA,Bourbon
Evan Williams 1783 Small Batch,8.17,0.38,4,$,Bourbon-like,,R1,USA,Bourbon
Koval Single Barrel Millet Whiskey,8.17,0.3,5,$$$,Bourbon-like,,R0,USA,Grain
Yellowstone Select,8.16,0.28,5,$$$,Bourbon-like,,R3,USA,Bourbon
Blanton's Special Reserve,8.14,0.3,6,$$$,Bourbon-like,,R2,USA,Bourbon
Tincup American Whiskey,8.14,0.29,8,$$,Bourbon-like,,R3,USA,Bourbon
Old Forester,8.09,0.41,12,$$,Bourbon-like,,R2,USA,Bourbon
Wild Turkey 81 Bourbon,8.09,0.48,16,$,Bourbon-like,,R2,USA,Bourbon
Jim Beam Devil's Cut,8.08,0.49,17,$,Bourbon-like,,R2,USA,Bourbon
Henry McKenna Straight Bourbon,8.07,0.06,3,$,Bourbon-like,,R1,USA,Bourbon
Jack Daniel's No. 27 Gold Double Barrelled,8.05,0.18,3,$$$$,Bourbon-like,,R1,USA,Bourbon
66 Gilead The Wild Oak,8.02,0.54,6,$$,Bourbon-like,,,Canada,Blend
Old Grand-Dad Bourbon (80/86 Proof),8,0.59,12,$$,Bourbon-like,,R3,USA,Bourbon
Jack Daniel's Old No. 7,7.95,0.39,16,$$,Bourbon-like,,R1,USA,Bourbon
Mellow Corn BiB,7.93,0.44,14,$,Bourbon-like,,R1,USA,Bourbon
Old Fitzgerald BiB,7.93,0.44,7,$$$,Bourbon-like,,R0,USA,Bourbon
Jefferson's Very Small Batch Bourbon,7.92,0.71,8,$$,Bourbon-like,,R3,USA,Bourbon
Redemption High Rye Bourbon,7.92,0.46,5,$$,Bourbon-like,,R3,USA,Bourbon
Smooth Ambler Old Scout Yearling Bourbon,7.88,1.24,3,$$$,Bourbon-like,,R0,USA,Bourbon
Ezra Brooks Black Label,7.86,1,5,$,Bourbon-like,,R1,USA,Bourbon
Jack Daniel's Gentleman Jack,7.86,0.36,14,$$,Bourbon-like,,R1,USA,Bourbon
Heaven Hill Old Syle Bourbon (white label),7.85,0.46,5,$,Bourbon-like,,R1,USA,Bourbon
Ancient Age Kentucky Straight Bourbon,7.81,0.64,8,$,Bourbon-like,,R2,USA,Bourbon
Ezra B 12yo Single Barrel,7.7,0.87,4,$$$,Bourbon-like,,R1,USA,Bourbon
Jim Beam Distillers Series,7.69,1.5,4,$$,Bourbon-like,,R2,USA,Bourbon
Jim Beam White Label,7.67,0.47,19,$,Bourbon-like,,R2,USA,Bourbon
Rebel Yell Kentucky Bourbon,7.47,0.54,12,$,Bourbon-like,,R0,USA,Bourbon
Jim Beam Red Stag (Black Cherry),7.44,0.96,4,$,Bourbon-like,,,USA,Flavoured
Virginia Black,7.38,1.01,6,$$,Bourbon-like,,R2,USA,Bourbon
Yellowstone Limited Edition (all vintages),6.19,4.81,4,$$$$$,Bourbon-like,,R3,USA,Bourbon
